Account_ID,Account_Name,Current_Rep,ARR,Location,Num_Employees,Num_Marketers,Risk_Score
ACC-1345,PowerGrid Industrial North America,Michael Brown,239640,GA,38252,3061,19
ACC-1346,CoreTech Enterprise North America,Alex Torres,168660,FL,84596,6770,27
ACC-1347,SafeHaven Life North America,Rachel Patel,99877,GA,28417,2275,62
ACC-1348,TrustPoint Financial North America,Rachel Patel,130114,MI,99791,7984,31
ACC-1349,StarVision Entertainment North America,Alex Torres,335798,FL,103553,8285,73
ACC-1350,Acme Corp USA,James Miller,437369,OH,115859,9270,70
ACC-1351,TechStart Inc USA,David Kim,179146,NC,188482,15078,2
ACC-1352,GreenLeaf Solutions USA,Chris Johnson,352185,CA,39869,3189,30
ACC-1353,MedConnect Health USA,Chris Johnson,309077,IL,31660,2534,25
ACC-1354,PrimeWell Insurance USA,Maria Garcia,125888,FL,71209,5697,54
ACC-1355,Atlas Energy USA,David Kim,268699,MI,117540,9403,29
ACC-1356,Summit Capital USA,Rachel Patel,399389,OH,120487,9638,45
ACC-1357,DataSphere Analytics USA,Sarah Chen,203973,NY,13329,1069,6
ACC-1358,MediFlow Logistics USA,Sarah Chen,86013,TX,30682,2457,42
ACC-1359,PharmaBridge Supply USA,Michael Brown,191229,GA,128642,10291,48
ACC-1360,BulkMart Retail USA,Sarah Chen,26813,MI,11967,960,84
ACC-1361,CarePath Benefits USA,Emily Davis,79388,CA,66474,5320,46
ACC-1362,SignalWave Telecom USA,Sarah Chen,327418,TX,182985,14641,9
ACC-1363,CloudNova Systems USA,Alex Torres,457551,FL,33223,2657,68
ACC-1364,VitalSource Medical USA,Michael Brown,21087,MI,45231,3620,80
ACC-1365,Horizon Petroleum USA,Chris Johnson,221355,FL,119373,9551,62
ACC-1366,BuildRight Hardware USA,Emily Davis,167001,CA,30215,2420,17
ACC-1367,QuickCare Pharmacy USA,Lisa Wang,355303,GA,45226,3620,72
ACC-1368,TrailBlaze Fuels USA,Alex Torres,422251,TX,86624,6930,43
ACC-1369,WellBridge Health USA,James Miller,410426,FL,38563,3087,93
ACC-1370,Apex Auto Manufacturing USA,Sarah Chen,392696,NY,138412,11072,71
ACC-1371,MotionDrive Vehicles USA,Rachel Patel,416588,TX,66711,5339,51
ACC-1372,Pinnacle Financial USA,Alex Torres,30943,FL,76144,6091,88
ACC-1373,NetPulse Communications USA,Rachel Patel,146686,TX,81361,6508,89
ACC-1374,HealthFirst Managed Care USA,Michael Brown,235040,PA,170271,13622,77
ACC-1375,SocialGrid Technologies USA,Emily Davis,479264,NY,63128,5050,36
ACC-1376,StreamLine Media USA,David Kim,102721,IL,12919,1035,80
ACC-1377,FuelCraft Energy USA,Rachel Patel,423348,OH,84077,6727,32
ACC-1378,SunRidge Refining USA,Alex Torres,280062,NY,137082,10969,78
ACC-1379,ByteForce Computing USA,Lisa Wang,200610,FL,137101,10969,71
ACC-1380,ShopSmart Retail USA,James Miller,446452,NY,106792,8545,66
ACC-1381,HomeBase Mortgage USA,Lisa Wang,273572,GA,84550,6764,56
ACC-1382,SwiftShip Logistics USA,David Kim,476764,FL,17899,1434,25
ACC-1383,RenovateRight Supplies USA,James Miller,19160,NC,9517,763,74
ACC-1384,Liberty Banking USA,Sarah Chen,308665,NY,182674,14613,9
ACC-1385,BioVance Pharma USA,Sarah Chen,24629,NY,76495,6120,97
ACC-1386,RapidRoute Delivery USA,James Miller,261302,GA,69287,5543,78
ACC-1387,CareFirst Plans USA,Alex Torres,145293,GA,112640,9011,41
ACC-1388,WestPoint Finance USA,Rachel Patel,123638,CA,25499,2039,52
ACC-1389,ShieldGuard Insurance USA,Lisa Wang,136594,MI,147804,11824,95
ACC-1390,NovaCure Biotech USA,Maria Garcia,26017,NY,134683,10775,66
ACC-1391,GlobalEdge Bank USA,Michael Brown,417694,CA,162674,13016,38
ACC-1392,FreshWave Beverages USA,James Miller,421418,CA,69520,5562,61
ACC-1393,ChipLogic Semiconductors USA,Maria Garcia,229775,IL,191820,15345,67
ACC-1394,EverBright Consumer USA,Emily Davis,210796,NC,83045,6645,16
ACC-1395,PowerGrid Industrial USA,Sarah Chen,214266,OH,50700,4058,64
ACC-1396,CoreTech Enterprise USA,Emily Davis,21328,OH,159322,12748,73
ACC-1397,SafeHaven Life USA,Rachel Patel,126860,MI,139363,11152,63
ACC-1398,TrustPoint Financial USA,Alex Torres,448258,PA,176896,14153,90
ACC-1399,StarVision Entertainment USA,Lisa Wang,243374,MI,128833,10308,16
ACC-1400,Acme Corp Global,David Kim,340601,IL,76882,6153,25
ACC-1401,TechStart Inc Global,Sarah Chen,208406,OH,191554,15326,20
ACC-1402,GreenLeaf Solutions Global,Alex Torres,432228,TX,165106,13208,90
ACC-1403,MedConnect Health Global,David Kim,119473,IL,19895,1594,6
ACC-1404,PrimeWell Insurance Global,Chris Johnson,230780,NC,74310,5944,97
ACC-1405,Atlas Energy Global,Lisa Wang,311100,OH,72027,5763,48
ACC-1406,Summit Capital Global,Alex Torres,462653,CA,88312,7067,15
ACC-1407,DataSphere Analytics Global,Rachel Patel,51109,IL,72822,5827,11
ACC-1408,MediFlow Logistics Global,James Miller,159002,CA,158566,12686,83
ACC-1409,PharmaBridge Supply Global,Emily Davis,342052,OH,136883,10953,40
ACC-1410,BulkMart Retail Global,Alex Torres,94674,TX,184260,14740,71
ACC-1411,CarePath Benefits Global,David Kim,428856,PA,44032,3522,18
ACC-1412,SignalWave Telecom Global,Chris Johnson,260279,MI,61758,4943,15
ACC-1413,CloudNova Systems Global,Rachel Patel,466300,NY,157379,12592,2
ACC-1414,VitalSource Medical Global,Chris Johnson,359864,NC,88773,7101,64
ACC-1415,Horizon Petroleum Global,Rachel Patel,122679,GA,178004,14242,11
ACC-1416,BuildRight Hardware Global,Lisa Wang,44343,MI,26669,2135,97
ACC-1417,QuickCare Pharmacy Global,Alex Torres,115203,IL,126750,10141,22
ACC-1418,TrailBlaze Fuels Global,David Kim,460851,NC,21166,1694,28
ACC-1419,WellBridge Health Global,Maria Garcia,288140,NY,109634,8773,58
ACC-1420,Apex Auto Manufacturing Global,Sarah Chen,461603,CA,112470,8998,94
ACC-1421,MotionDrive Vehicles Global,Lisa Wang,133813,TX,174977,13998,63
ACC-1422,Pinnacle Financial Global,Michael Brown,230933,IL,90715,7260,36
ACC-1423,NetPulse Communications Global,Rachel Patel,266207,CA,198417,15874,12
ACC-1424,HealthFirst Managed Care Global,Michael Brown,56785,TX,61079,4889,49
ACC-1425,SocialGrid Technologies Global,Maria Garcia,359513,FL,138552,11087,33
ACC-1426,StreamLine Media Global,Alex Torres,266287,TX,132710,10616,50
ACC-1427,FuelCraft Energy Global,Maria Garcia,123418,OH,160760,12861,70
ACC-1428,SunRidge Refining Global,Emily Davis,495579,CA,81699,6535,62
ACC-1429,ByteForce Computing Global,James Miller,252837,OH,176320,14108,92
ACC-1430,ShopSmart Retail Global,Emily Davis,248514,MI,57343,4590,45
ACC-1431,HomeBase Mortgage Global,Alex Torres,69649,PA,28350,2269,32
ACC-1432,SwiftShip Logistics Global,Sarah Chen,186629,OH,19479,1558,82
ACC-1433,RenovateRight Supplies Global,David Kim,468623,TX,162409,12994,38
ACC-1434,Liberty Banking Global,James Miller,391545,NY,124977,9998,24
ACC-1435,BioVance Pharma Global,James Miller,487240,CA,14531,1162,28
ACC-1436,RapidRoute Delivery Global,James Miller,455998,NY,117742,9421,45
ACC-1437,CareFirst Plans Global,Lisa Wang,180401,CA,134916,10793,19
ACC-1438,WestPoint Finance Global,David Kim,150393,PA,76375,6112,58
ACC-1439,ShieldGuard Insurance Global,Michael Brown,497365,NY,157712,12619,3
ACC-1440,NovaCure Biotech Global,James Miller,31588,PA,178514,14283,89
ACC-1441,GlobalEdge Bank Global,Michael Brown,74495,CA,23364,1869,54
ACC-1442,FreshWave Beverages Global,Emily Davis,100414,TX,155572,12447,28
ACC-1443,ChipLogic Semiconductors Global,James Miller,272878,IL,51870,4150,54
ACC-1444,EverBright Consumer Global,Emily Davis,263822,PA,103630,8290,33
ACC-1445,PowerGrid Industrial Global,Rachel Patel,115536,MI,86018,6884,44
ACC-1446,CoreTech Enterprise Global,Rachel Patel,151372,PA,150329,12029,43
ACC-1447,SafeHaven Life Global,Chris Johnson,84230,OH,120570,9648,49
ACC-1448,TrustPoint Financial Global,Chris Johnson,447225,IL,101931,8157,34
ACC-1449,StarVision Entertainment Global,Alex Torres,266080,NY,10874,869,31
ACC-1450,Acme Corp Enterprises,Alex Torres,236386,CA,116536,9324,76
ACC-1451,TechStart Inc Enterprises,David Kim,424348,TX,157863,12629,26
ACC-1452,GreenLeaf Solutions Enterprises,Sarah Chen,24810,OH,3499,279,76
ACC-1453,MedConnect Health Enterprises,Sarah Chen,483464,NY,96131,7693,45
ACC-1454,PrimeWell Insurance Enterprises,Rachel Patel,386441,PA,99016,7921,93
ACC-1455,Atlas Energy Enterprises,David Kim,174623,NC,64816,5186,71
ACC-1456,Summit Capital Enterprises,Emily Davis,97196,TX,67369,5389,37
ACC-1457,DataSphere Analytics Enterprises,Chris Johnson,329174,MI,21746,1740,30
ACC-1458,MediFlow Logistics Enterprises,Lisa Wang,248678,OH,94579,7569,59
ACC-1459,PharmaBridge Supply Enterprises,David Kim,405799,FL,109264,8743,92
ACC-1460,BulkMart Retail Enterprises,Michael Brown,251544,FL,170898,13671,27
ACC-1461,CarePath Benefits Enterprises,Lisa Wang,116730,NY,45179,3614,1
ACC-1462,SignalWave Telecom Enterprises,David Kim,190177,TX,193067,15447,21
ACC-1463,CloudNova Systems Enterprises,Rachel Patel,344184,MI,150037,12003,45
ACC-1464,VitalSource Medical Enterprises,Michael Brown,237836,MI,15039,1205,83
ACC-1465,Horizon Petroleum Enterprises,David Kim,160242,OH,139331,11147,7
ACC-1466,BuildRight Hardware Enterprises,Michael Brown,273950,NC,112647,9013,12
ACC-1467,QuickCare Pharmacy Enterprises,Rachel Patel,62001,PA,147734,11818,66
ACC-1468,TrailBlaze Fuels Enterprises,Lisa Wang,19596,FL,37177,2975,63
ACC-1469,WellBridge Health Enterprises,Rachel Patel,349959,IL,187651,15014,87
ACC-1470,Apex Auto Manufacturing Enterprises,Rachel Patel,231211,GA,46251,3703,41
ACC-1471,MotionDrive Vehicles Enterprises,Michael Brown,476215,IL,146918,11755,60
ACC-1472,Pinnacle Financial Enterprises,Sarah Chen,356473,GA,148113,11851,41
ACC-1473,NetPulse Communications Enterprises,Rachel Patel,240939,MI,176740,14139,40
ACC-1474,HealthFirst Managed Care Enterprises,Rachel Patel,124774,TX,153297,12265,28
ACC-1475,SocialGrid Technologies Enterprises,James Miller,283665,OH,24323,1945,26
ACC-1476,StreamLine Media Enterprises,Lisa Wang,207917,OH,199788,15986,13
ACC-1477,FuelCraft Energy Enterprises,Maria Garcia,140114,FL,66839,5348,72
ACC-1478,SunRidge Refining Enterprises,James Miller,455760,CA,81762,6541,44
ACC-1479,ByteForce Computing Enterprises,Maria Garcia,286207,IL,161465,12919,23
ACC-1480,ShopSmart Retail Enterprises,Lisa Wang,37269,NY,112171,8974,55
ACC-1481,HomeBase Mortgage Enterprises,Sarah Chen,293374,NY,115358,9229,88
ACC-1482,SwiftShip Logistics Enterprises,Alex Torres,224958,MI,142301,11387,95
ACC-1483,RenovateRight Supplies Enterprises,Emily Davis,417400,NC,165637,13253,38
ACC-1484,Liberty Banking Enterprises,Alex Torres,225608,NC,135172,10814,6
ACC-1485,BioVance Pharma Enterprises,Emily Davis,339184,OH,125378,10032,98
ACC-1486,RapidRoute Delivery Enterprises,Rachel Patel,258205,PA,107825,8626,59
ACC-1487,CareFirst Plans Enterprises,Michael Brown,262084,PA,86261,6901,70
ACC-1488,WestPoint Finance Enterprises,Rachel Patel,473275,MI,76791,6145,59
ACC-1489,ShieldGuard Insurance Enterprises,Emily Davis,441083,NY,176431,14117,91
ACC-1490,NovaCure Biotech Enterprises,Lisa Wang,47156,MI,131193,10497,55
ACC-1491,GlobalEdge Bank Enterprises,James Miller,260019,MI,187400,14993,74
ACC-1492,FreshWave Beverages Enterprises,James Miller,365461,MI,11820,948,36
ACC-1493,ChipLogic Semiconductors Enterprises,Alex Torres,281256,NY,165772,13261,94
ACC-1494,EverBright Consumer Enterprises,James Miller,393328,FL,21916,1756,12
ACC-1495,PowerGrid Industrial Enterprises,Emily Davis,202226,MI,180717,14459,92
ACC-1496,CoreTech Enterprise Enterprises,Alex Torres,337666,NY,128591,10287,80
ACC-1497,SafeHaven Life Enterprises,Lisa Wang,424857,OH,100161,8012,84
ACC-1498,TrustPoint Financial Enterprises,Emily Davis,132666,NY,27252,2181,32
ACC-1499,StarVision Entertainment Enterprises,Sarah Chen,269509,CA,158737,12699,16
